,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_feat_vdw_per_N,_raw_RelativeHumidity,_out_crystalscore
4470,2019-06-10T21_14_00.866379+00_00_LBL_A1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,7.898327178,0.6605901270000001,0.892413572,0,0,1,0.446206786,0.330295064,3.949163589,3.724355355,0.1198077904679426,0.08868516361001218,1.060361649888803,0.2084929540779548,1.268854603966758,0.058148913067959974,0.043043493657920914,0.1011924067258809,1.3509338607615402,11.956471711003227,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4471,2019-06-10T21_14_00.866379+00_00_LBL_C1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.106017814,0.67193073,1.084775169,0,0,1,0.542387584,0.335965365,0.053008907,5.511763153,0.09840545918682728,0.0609542456150601,0.009617413798186841,0.15935970480188738,0.16897711860007422,0.0974680684405248,0.060373607647821625,0.1578416760883464,1.6144151763977217,0.15778086827491875,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4472,2019-06-10T21_14_00.866379+00_00_LBL_E1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,3.2931385260000003,0.056816649,1.21052423,0,0,1,0.604051591,0.028351508,1.643276124,4.953714747,0.12193911475541006,0.005723282313978584,0.33172602943986185,0.12766239706938862,0.4593884265092505,0.09156471530912326,0.004297642448564182,0.09586235775768744,21.305801123524013,57.960801379595054,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4473,2019-06-10T21_14_00.866379+00_00_LBL_G1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.7951336090000001,1.134060304,1.41824125,0,0,1,0.709120625,0.5670301520000001,0.397566804,4.937778829,0.1436112571173244,0.1148350648412568,0.08051531220172438,0.2584463219585812,0.3389616341603056,0.13290996943365224,0.10627805413258032,0.23918802356623256,1.2505871557250094,0.7011387359168159,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4474,2019-06-10T21_14_00.866379+00_00_LBL_B1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.626113404,0.493316232,0.857650018,0,0,1,0.428825009,0.246658116,3.313056702,4.134174452,0.10372687799677786,0.05966320939375783,0.8013828977142544,0.16339008739053568,0.96477298510479,0.05758180458379794,0.033120781522608826,0.09070258610640676,1.7385400324715037,13.431776564773564,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4475,2019-06-10T21_14_00.866379+00_00_LBL_D1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.081685857,0.394085956,0.8417891040000001,0,0,1,0.420894552,0.197042978,2.040842929,4.810682911000001,0.08749164303421285,0.040959460776233234,0.4242314379801366,0.12845110381044608,0.5526825417905827,0.061430776418118276,0.02875899217217285,0.09018976859029113,2.136054561660147,10.357349192113814,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4476,2019-06-10T21_14_00.866379+00_00_LBL_F1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.9049678760000015,0.193176605,0.928351076,0,0,1,0.463247187,0.096395126,3.44557897,4.164177767,0.1112457759779399,0.02314865776478269,0.8274332083767643,0.1343944337427226,0.9618276421194868,0.06087542650970816,0.01266730715993977,0.07354273366964792,4.805711722395591,35.744327674824554,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4477,2019-06-10T21_14_00.866379+00_00_LBL_H1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,1.961329568,0.771161007,1.462382158,0,0,1,0.731191079,0.385580503,0.980664784,4.804842971,0.15217793451589576,0.08024830474735611,0.2040992369404948,0.23242623926325184,0.43652547620374665,0.12638321647189632,0.0666459227656847,0.19302913923758105,1.896338308890064,2.5433463994417798,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4478,2019-06-10T21_14_00.866379+00_00_LBL_A2,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.7951336090000001,0.535843494,1.454896314,0,0,1,0.727448157,0.267921747,0.397566804,5.206762887,0.1397121729541897,0.051456490878225784,0.07635584961869996,0.19116866383241546,0.2675245134511154,0.12980109970478892,0.0478062073025889,0.1776073070073778,2.715151588646516,1.4838915035889193,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,0
4479,2019-06-10T21_14_00.866379+00_00_LBL_C2,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.002010539,0.289764907,1.188154658,0,0,1,0.592889174,0.144592689,2.995003259,4.19500492,0.14133217607763854,0.034467823460860206,0.7139451123694986,0.17579999953849876,0.8897451119079975,0.0824601529288469,0.020110225941371632,0.10257037887021854,4.100409073933191,20.713379630141606,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,0,22.94,116.23,-1,0
