,_rxn_M_organic,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_solvent,_stoich_mmol_org,_stoich_mmol_solv,_stoich_mmol_acid,_stoich_mmol_inorg,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_raw_RelativeHumidity,_rxn_organic-inchikey,_solv_GBL,_solv_DMSO,_solv_DMF,_out_crystalscore
9933,0.3223539132753005,13.543193864280994,0.3909896816654065,10.552303093133071,0.16117695663765025,5.276151546566536,6.771596932140497,0.19549484083270324,0.030548204541724435,0.03705254466390789,1.28343488096871,0.06760074920563232,1.3510356301743423,0.013378180738294082,0.016226670168141145,0.029604850906435227,0.8244563178809364,34.638238550424774,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
9999,1.7983970935936648,1.9613295676732567,1.0114105126558215,14.584785062310564,0.8991985467968324,7.292392531155282,0.9806647838366284,0.5057052563279107,0.1233063830498958,0.06934696043409438,0.13447778347736153,0.19265334348399019,0.3271311269613517,0.108689993621507,0.06112676814307859,0.16981676176458557,1.778107970097451,1.9392022755657163,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
9953,2.1227025089237053,2.592251950585035,0.01994845314619421,14.556163519548237,1.0613512544618526,7.2780817597741185,1.2961259752925176,0.009974226573097105,0.1458284324762508,0.0013704471730758166,0.17808620706299183,0.14719887964932662,0.3252850867123184,0.12378417776387174,0.0011632825890495629,0.1249474603529213,106.4093788810225,129.947516811828,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
9929,1.0499031681359152,5.61894416684771,0.8754897322989129,14.353452019284177,0.5249515840679576,7.176726009642088,2.809472083423855,0.43774486614945646,0.07314638783237282,0.06099506454075809,0.39146988190008475,0.1341414523731309,0.5256113342732156,0.05256771187349719,0.04383498725640248,0.09640269912989967,1.1992181397479296,6.4180583273011695,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
10019,1.3462325515491076,4.886592650867672,1.4620737012339895,12.717803857361744,0.6731162757745538,6.358901928680872,2.443296325433836,0.7310368506169947,0.10585416842781675,0.11496274967219777,0.3842324276796462,0.22081691810001453,0.6050493457796607,0.07647138320929052,0.08305162295966936,0.15952300616895987,0.920769281612061,3.3422341478021185,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
9975,1.4164611409487224,4.55876602215946,0.33580428088177483,14.926187497739887,0.7082305704743612,7.463093748869944,2.27938301107973,0.16790214044088742,0.09489771860116336,0.022497659293950454,0.3054206590162254,0.1173953778951138,0.4228160369113392,0.07269512547218225,0.017234030378303383,0.08992915585048564,4.218115198618953,13.57566380687221,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
9965,0.8240716677350429,0.6891157940473606,0.7955363320889666,20.238246234128173,0.41203583386752146,10.119123117064087,0.3445578970236803,0.3977681660444833,0.04071853154674014,0.0393085607757572,0.034050173422897206,0.08002709232249734,0.11407726574539455,0.03937771357066193,0.03801417163892406,0.077391885209586,1.0358693053919317,0.8662279348547657,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
9934,0.9265036724667396,6.255051053660657,0.7595573019944907,14.463834495223105,0.4632518362333698,7.231917247611553,3.1275255268303286,0.37977865099724534,0.0640565731564981,0.052514241797038376,0.4324614648851575,0.11657081495353648,0.549032279838694,0.04471783341245665,0.036660142757312164,0.08137797616976881,1.2197943065439187,8.235127273789315,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
9955,0.7643358346054739,8.534434064740386,0.6636132217425551,13.093286932433958,0.38216791730273697,6.546643466216979,4.267217032370193,0.33180661087127755,0.05837616165823907,0.050683470481250166,0.6518175389251849,0.10905963213948924,0.7608771710646741,0.03534056291485054,0.030683455821778727,0.06602401873662926,1.1517790929457907,12.860554589810857,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,4.0
9997,0.2963110275514553,2.0143384749076687,0.1838928204828767,22.293880686163927,0.14815551377572764,11.146940343081964,1.0071692374538344,0.09194641024143835,0.013291137228313616,0.008248578301444156,0.09035387348052919,0.02153971552975777,0.11189358901028697,0.01218974642231228,0.0075650470017718085,0.019754793424084087,1.6113246116590314,10.953872313330661,105.0,21600.0,15.68,52.56,49.81,5.56,5.39,25.82,3.47,11.21,16.0,229.02,314.02,221.48,92.55,77.47,236.55,47.87,1.0,2.0,2.0,138.189,1.0,22.0,4.0,6.0,escalate_MathematicaUniformRandom_1.2,0,1,1,22.94,62.9978022,HJFYRMFYQMIZDG-UHFFFAOYSA-N,0,0,1,1.0
