,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_feat_vdw_per_N,_raw_RelativeHumidity,_out_crystalscore
2737,2019-02-21T16_54_38.714239+00_00_LBL_G9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,8.668347549,0.093842936,0.444762406,0,0,1,0.330458468,0.06972530099999999,6.4405822289999985,6.0272395360000015,0.05482749872909647,0.011568364021960448,1.0685791050000837,0.06639586275105691,1.1349749677511405,0.0265049079324884,0.005592420417472979,0.032097328349961374,4.739434082901988,92.3708056706704,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_2.4,0,1,0,22.94,116.23,-1,2.0
2736,2019-02-21T16_54_38.714239+00_00_LBL_E9,JMXLWMIFDJCGBV-UHFFFAOYSA-N,5.89445858,0.953807247,1.032464519,0,0,1,0.663874686,0.61329806,3.790136867,5.13637314,0.12924969972099806,0.1194029411967527,0.7379013875537866,0.2486526409177508,0.9865540284715374,0.0743711355814761,0.06870524533317762,0.14307638091465372,1.0824666329451622,6.179926391744987,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_2.4,0,1,0,22.94,116.23,-1,3.0
5140,2019-06-21T14_37_13.758897+00_00_LBL_F3,JMXLWMIFDJCGBV-UHFFFAOYSA-N,2.226374104,0.8229873809999999,1.21140293,0,0,1,0.605701465,0.411493691,1.113187052,4.852804231,0.12481473312497199,0.08479503219424224,0.2293904717789552,0.20960976531921427,0.4390002370981696,0.10152570398919906,0.06897323034523113,0.1704989343344302,1.4719580840426545,2.705234797876889,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_2.4,0,1,0,22.94,116.23,-1,4.0
4471,2019-06-10T21_14_00.866379+00_00_LBL_C1,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.106017814,0.67193073,1.084775169,0,0,1,0.542387584,0.335965365,0.053008907,5.511763153,0.09840545918682728,0.0609542456150601,0.009617413798186841,0.15935970480188738,0.16897711860007422,0.0974680684405248,0.060373607647821625,0.1578416760883464,1.6144151763977217,0.15778086827491875,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,1.0
2686,2019-02-21T16_54_38.714239+00_00_LBL_A3,JMXLWMIFDJCGBV-UHFFFAOYSA-N,8.834817872,0.189728711,1.204340516,0,0,1,0.903255387,0.142296534,6.626113404,5.329144294,0.1694935128735323,0.02670157273846186,1.2433728640938166,0.19619508561199414,1.4395679497058107,0.07555298345021087,0.011902422983638809,0.08745540643384968,6.347697738020803,46.565529164610574,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_Prototyping_0,0,1,1,22.94,116.23,-1,3.0
4532,2019-06-10T21_14_00.866379+00_00_LBL_H8,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.390957386,0.820552615,0.98872592,0,0,1,0.495351686,0.41109686,2.19986965,4.457611687,0.11112490741277976,0.09222356922629812,0.4935085881113449,0.20334847663907787,0.6968570647504227,0.07440526843793087,0.06174960757535504,0.1361548760132859,1.2049512759596364,5.351219783094427,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_MathematicaUniformRandom_1,0,1,1,22.94,116.23,-1,3.0
5201,2019-06-21T14_37_13.758897+00_00_LBL_G11,JMXLWMIFDJCGBV-UHFFFAOYSA-N,1.3782315880000002,1.044560907,1.363098048,0,0,1,0.6815490240000001,0.5222804529999999,0.6891157940000001,4.869202457,0.13997138751546476,0.10726201212873493,0.1415253935496813,0.2472333996441997,0.38875879319388096,0.12261784828124625,0.09396375475730202,0.21658160303854826,1.304948366505304,1.3194363105907778,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_2.4,0,1,0,22.94,116.23,-1,4.0
2694,2019-02-21T16_54_38.714239+00_00_LBL_A4,JMXLWMIFDJCGBV-UHFFFAOYSA-N,6.813180499,0.934547814,1.021111316,0,0,1,0.687207916,0.628950679,4.585270476,5.095665248,0.13486127572248247,0.1234285708322102,0.899837460437511,0.2582898465546927,1.1581273069922038,0.07098569142405763,0.06496796352451435,0.13595365494857198,1.0926260817344629,7.2903498304355905,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_2.4,0,1,1,22.94,116.23,-1,4.0
6275,2019-08-28T12_41_25.009802+00_00_LBL_A2,JMXLWMIFDJCGBV-UHFFFAOYSA-N,4.293721486,0.391754673,0.945969722,0,0,1,0.472984861,0.195877337,2.146860743,4.703047519,0.1005698664725739,0.04164902357645092,0.4564828941929302,0.14221889004902485,0.598701784241955,0.06904980956079264,0.028595614642992137,0.09764542420378478,2.4146992615077263,10.960230396638485,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalation_CombinatorialFusionAnomalies_1.0,0,1,1,22.94,116.23,-1,3.0
5163,2019-06-21T14_37_13.758897+00_00_LBL_D6,JMXLWMIFDJCGBV-UHFFFAOYSA-N,0.7951336090000001,1.156786459,1.208758479,0,0,1,0.60437924,0.578393229,0.397566804,5.041624973999999,0.1198778653939602,0.11472357265421625,0.07885687770317683,0.2346014380481765,0.3134583157513533,0.11111563347417604,0.10633808341515698,0.21745371688933307,1.0449279308558432,0.6873642084077716,105,12600,6.09,26.11,22.94,3.3,5.05,16.67,2.61,6.54,5.88,116.23,228.53,197.63,30.9,69.52,159.01,16.61,0,1,0,46.092,1,10,3,0,escalate_ExpertQuasiRandom_2.4,0,1,0,22.94,116.23,-1,1.0
