,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_feat_vdw_per_N,_raw_RelativeHumidity,_out_crystalscore
8743,2021-01-06T14_03_31.072327+00_00_LBL_C11,NJQKYAASWUGXIT-UHFFFAOYSA-N,1.322577526,0.069825647,0.477116988,0,0,1,0.239035611,0.034982649,0.66261134,5.724231262000001,0.0417585523818412,0.006111326988521658,0.11575551539972005,0.04786987937036286,0.16362539477008292,0.03742625674306542,0.00547729937622784,0.042903556119293265,6.832976284900553,18.94114250753281,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,1.0
8730,2021-01-06T14_03_31.072327+00_00_LBL_B9,NJQKYAASWUGXIT-UHFFFAOYSA-N,0.6891157940000001,0.475764028,1.82824055,0,0,1,0.914120275,0.237882014,0.3445578970000001,4.571755085,0.1999495287923981,0.05203297411545395,0.07536665691705574,0.25198250290785196,0.3273491598249077,0.185936143273801,0.048386263216144434,0.23432240648994546,3.842746492805463,1.448440305369199,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,2.0
8697,2021-01-06T14_03_31.072327+00_00_LBL_G5,NJQKYAASWUGXIT-UHFFFAOYSA-N,0.15934541300000002,0.35052754700000005,1.127219295,0,0,1,0.5624824279999999,0.17491324600000002,0.07951336099999999,5.320988107,0.10571014568892363,0.032872324177889774,0.014943344995527538,0.1385824698668134,0.15352581486234093,0.10415374041335228,0.03238833412719665,0.13654207454054892,3.2157794841906933,0.4545874187252804,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,1.0
8669,2021-01-06T14_03_31.072327+00_00_LBL_H1,NJQKYAASWUGXIT-UHFFFAOYSA-N,8.073500901000001,0.248874558,1.57991622,0,0,1,0.7883781940000001,0.124188404,4.02867695,3.078296782,0.2561085723150394,0.04034321990205037,1.3087357182573311,0.2964517922170898,1.6051875104744209,0.1109302248368012,0.017474161110350928,0.12840438594715212,6.3482432224509475,32.440041261823445,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,1,43.22,172.42,-1,4.0
8727,2021-01-06T14_03_31.072327+00_00_LBL_C9,NJQKYAASWUGXIT-UHFFFAOYSA-N,11.29089724,0.290355988,0.633835389,0,0,1,0.316917695,0.145177994,5.64544862,3.050298068,0.10389728739125964,0.047594690998571616,1.8507858885087816,0.15149197838983125,2.0022778668986128,0.03644513879841298,0.01669528784691296,0.053140426645325936,2.1829595951022718,38.8863936224384,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,2.0
8737,2021-01-06T14_03_31.072327+00_00_LBL_G10,NJQKYAASWUGXIT-UHFFFAOYSA-N,2.385400826,0.7731165459999999,1.43368623,0,0,1,0.716843115,0.386558273,1.192700413,4.335813897,0.1653306926978559,0.08915471977878575,0.2750810900406135,0.25448541247664164,0.5295665025172551,0.12966288496411618,0.06992082344813537,0.1995837084122516,1.8544244556887288,3.0854349688177547,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,4.0
8695,2021-01-06T14_03_31.072327+00_00_LBL_C5,NJQKYAASWUGXIT-UHFFFAOYSA-N,6.467086683,0.073463563,0.332436926,0,0,1,0.166218463,0.036731782,3.2335433410000003,4.57546793,0.036328188841660176,0.008027983708324233,0.706713147260547,0.04435617254998442,0.7510693198105314,0.02128546844557372,0.00470376859826151,0.025989237043835232,4.525194639345295,88.03121343255278,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,1.0
8689,2021-01-06T14_03_31.072327+00_00_LBL_G4,NJQKYAASWUGXIT-UHFFFAOYSA-N,9.064523137,0.069965298,0.883487837,0,0,1,0.441743918,0.034982649,4.532261569,3.496072435,0.12635433796439632,0.01000627122303889,1.2963866319320128,0.1363606091874352,1.4327472411194482,0.05502311161691922,0.0043573983073661865,0.0593805099242854,12.627514800265695,129.55741484871544,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,3.0
8754,2021-01-06T14_03_31.072327+00_00_LBL_B12,NJQKYAASWUGXIT-UHFFFAOYSA-N,4.9928229260000005,0.946424376,0.767378291,0,0,1,0.382921767,0.472265764,2.49141864,4.150615345,0.09225662586664003,0.11378210813220994,0.600252837931914,0.20603873399884998,0.8062915719307638,0.057651280897503564,0.07110258168906372,0.1287538625865673,0.8108183912310867,5.275458925707772,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,1,43.22,172.42,-1,4.0
8703,2021-01-06T14_03_31.072327+00_00_LBL_C6,NJQKYAASWUGXIT-UHFFFAOYSA-N,2.650445362,0.969019382,1.454067385,0,0,1,0.727033693,0.484509691,1.3252226809999998,4.159997463,0.1747678212466256,0.116468746750291,0.31856333874884385,0.2912365679969166,0.6097999067457606,0.13254412291825055,0.08833003567413429,0.22087415859238485,1.5005555234601076,2.7351830223763263,105,21600,12.96,45.79,43.22,4.62,4.01,20.94,3.35,9.24,13.62,172.42,267.32,215.54,51.78,84.54,182.78,27.64,0,1,0,128.58,1,15,2,6,escalate_MathematicaUniformRandom_1.2,1,0,0,43.22,172.42,-1,4.0
