,name,_rxn_organic-inchikey,_rxn_M_acid,_rxn_M_inorganic,_rxn_M_organic,_solv_GBL,_solv_DMSO,_solv_DMF,_stoich_mmol_org,_stoich_mmol_inorg,_stoich_mmol_acid,_stoich_mmol_solv,_stoich_org/solv,_stoich_inorg/solv,_stoich_acid/solv,_stoich_org+inorg/solv,_stoich_org+inorg+acid/solv,_stoich_org/liq,_stoich_inorg/liq,_stoich_org+inorg/liq,_stoich_org/inorg,_stoich_acid/inorg,_rxn_temperature_c,_rxn_reactiontime_s,_feat_organic_0_avgpol_std,_feat_organic_0_refractivity_std,_feat_organic_0_maximalprojectionarea_std,_feat_organic_0_maximalprojectionradius_std,_feat_organic_0_maximalprojectionsize_std,_feat_organic_0_minimalprojectionarea_std,_feat_organic_0_minimalprojectionradius_std,_feat_organic_0_minimalprojectionsize_std,_feat_organic_0_molpol_std,_feat_organic_0_asavdwp_std,_feat_organic_0_asa_std,_feat_organic_0_asah_std,_feat_organic_0_asap_std,_feat_organic_0_asa-_std,_feat_organic_0_asa+_std,_feat_organic_0_protpsa_std,_feat_organic_0_hacceptorcount_std,_feat_organic_0_hdonorcount_std,_feat_organic_0_rotatablebondcount_std,_feat_organic_0_organoammoniummolecularweight_std,_feat_organic_0_atomcount_n_std,_feat_organic_0_bondcount_std,_feat_organic_0_chainatomcount_std,_feat_organic_0_ringatomcount_std,_raw_modelname,_feat_primaryAmine,_feat_secondaryAmine,_rxn_plateEdgeQ,_feat_maxproj_per_N,_feat_vdw_per_N,_raw_RelativeHumidity,_out_crystalscore
8582,2020-12-15T14_02_27.850642+00_00_LBL_A3,ZKRCWINLLKOVCL-UHFFFAOYSA-N,7.262220291,0.089750797,0.239599007,0,0,1,0.119799503,0.044875398,3.631110146,4.395651518,0.027254094759201517,0.01020904360053048,0.8260687024735157,0.037463138359732,0.8635318408332477,0.014925010610106985,0.0055907226199659096,0.02051573323007289,2.6696031308736248,80.91538588693966,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,1,52.18,234.04,-1,1.0
8573,2020-12-15T14_02_27.850642+00_00_LBL_H1,ZKRCWINLLKOVCL-UHFFFAOYSA-N,10.44275473,0.066337545,0.434531058,0,0,1,0.217265529,0.033168773,5.221377363,3.429805294,0.06334631571654457,0.009670745175542316,1.5223538700969768,0.0730170608920869,1.595370930989064,0.025113968530557168,0.0038340160316880935,0.028947984562245267,6.550303473691957,157.41846594687118,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,1,52.18,234.04,-1,4.0
8618,2020-12-15T14_02_27.850642+00_00_LBL_B7,ZKRCWINLLKOVCL-UHFFFAOYSA-N,10.76080817,0.156088342,1.094558317,0,0,1,0.5472791579999999,0.078044171,5.3804040839999985,2.623871724,0.2085769487106222,0.029743897266831475,2.050559116433391,0.2383208459774537,2.2888799624108445,0.06837335083493915,0.009750310068275949,0.0781236609032151,7.01242835931975,68.94049888748258,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,4.0
8647,2020-12-15T14_02_27.850642+00_00_LBL_C11,ZKRCWINLLKOVCL-UHFFFAOYSA-N,13.25222681,0.058533128,0.8323474409999999,0,0,1,0.416173721,0.029266564,6.626113404,2.336227775,0.17813918893246616,0.01252727337341925,2.8362445969122168,0.1906664623058854,3.0269110592181026,0.04643582660914008,0.0032655043381494553,0.04970133094728953,14.2201086878528,226.40558023825412,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,3.0
8579,2020-12-15T14_02_27.850642+00_00_LBL_D2,ZKRCWINLLKOVCL-UHFFFAOYSA-N,0.901151423,0.7882461270000001,1.004996147,0,0,1,0.5024980729999999,0.394123063,0.450575711,4.813325505,0.104397276369116,0.08188165595503394,0.09361006450362636,0.18627893232415,0.27988899682777635,0.09546115179225276,0.07487280760551415,0.17033395939776694,1.274977589931092,1.1432360937477033,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8591,2020-12-15T14_02_27.850642+00_00_LBL_C4,ZKRCWINLLKOVCL-UHFFFAOYSA-N,5.353899631,0.35900318600000003,0.6897890870000001,0,0,1,0.344894544,0.179501593,2.676949815,4.263159729,0.0809011545248625,0.04210529382207908,0.6279262296437403,0.1230064483469416,0.750932677990682,0.04969583575207037,0.025864374598407642,0.07556021035047801,1.921401020658351,14.913237093110366,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8607,2020-12-15T14_02_27.850642+00_00_LBL_C6,ZKRCWINLLKOVCL-UHFFFAOYSA-N,1.3252226809999998,0.694593122,0.540957439,0,0,1,0.27047872,0.347296561,0.66261134,5.236923487,0.051648400185992635,0.0663169056913128,0.1265268323367429,0.11796530587730546,0.2444921382140483,0.0458474655937479,0.058868465257727,0.1047159308514749,0.7788119733209796,1.9079121834437047,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8571,2020-12-15T14_02_27.850642+00_00_LBL_D1,ZKRCWINLLKOVCL-UHFFFAOYSA-N,8.640451879,0.148283925,0.890928728,0,0,1,0.445464364,0.074141962,4.32022594,3.355554616,0.13275431783346064,0.02209529287542373,1.2874849121514045,0.15484961070888434,1.4423345228602888,0.05803505724923176,0.009659208136434378,0.06769426538566614,6.008262419599848,58.26964681619836,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,1,52.18,234.04,-1,3.0
8633,2020-12-15T14_02_27.850642+00_00_LBL_G9,ZKRCWINLLKOVCL-UHFFFAOYSA-N,0.7951336090000001,0.24193693,1.127235466,0,0,1,0.563617733,0.120968465,0.397566804,4.976267116,0.11326114934381667,0.024309077905214284,0.0798925770527307,0.13757022724903098,0.2174628043017617,0.10488186672505127,0.022510644504622132,0.1273925112296734,4.659212076469682,3.2865326016991285,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,1.0
8644,2020-12-15T14_02_27.850642+00_00_LBL_F10,ZKRCWINLLKOVCL-UHFFFAOYSA-N,7.845318271,0.120968465,1.515420582,0,0,1,0.757710291,0.060484233,3.922659135,2.914265419,0.2600004399256127,0.02075453821249903,1.346019861274688,0.2807549781381117,1.6267748394127997,0.11082618873667333,0.008846701835346889,0.1196728905720202,12.527401827183624,64.85424284044406,105,21600,17.0,55.38,52.18,5.82,5.47,25.39,3.37,11.47,17.25,234.04,322.3,273.88,48.42,126.77,195.52,27.64,0,1,2,156.63,1,21,4,6,escalate_MathematicaUniformRandom_1.2,1,0,0,52.18,234.04,-1,4.0
